numero,nom_four,autre_nom_four,num_entr,structure,nombre_employes,nombre_employes_mtl,politique_dev_durable,politique_appro_responsable,entreprise_econo_sociale,lieu_arr,lieu_ville,lieu_etat,lieu_pays,lieu_zone_achat
145441,PNEUTECH-ROUSSEAU INC.,NEQ:1169283323,1169283323,*Société par actions/Corporations/Compagnie,174.0,,N,"O Plan, politique ou engagements de DD",N,Lachine,Montreal,QC,CA,Place d'affaires à Montréal
114399,ASPLUNDH CANADA ULC,,1148035307,*Société par actions/Corporations/Compagnie,375.0,,N,N,N,,TERREBONNE,QC,CA,Québec hors Conseil d'agglomération
114661,TWIGG MUSIQUE,INSTRUMENTS DE MUSIQUE TWIGG INC.,1168071323,*Société par actions/Corporations/Compagnie,30.0,,N,N,N,Ville-Marie,MONTREAL,QC,CA,Place d'affaires à Montréal
144704,VEOLIA SERVICES A L'ENVIRONNEMENT,VEOLIA ES MATIERES RESIDUELLES INC.,1143990357,*Société par actions/Corporations/Compagnie,,,N,N,N,,LEVIS,QC,CA,Québec hors Conseil d'agglomération
115568,SERVICE DE FREINS MONTREAL LTEE,,1169307528,*Société par actions/Corporations/Compagnie,55.0,,N,N,N,Rivière-des-Prairies–Pointe-aux-Trembles,MONTREAL,QC,CA,Place d'affaires à Montréal
119801,AGILENT TECHNOLOGIES CANADA INC.,NEQ:1148717821,1148717821,*Société par actions/Corporations/Compagnie,175.0,,N,N,N,Saint-Laurent,Montreal,QC,CA,Place d'affaires à Montréal
104824,QUEST SOFTWARE CANADA INC.,,000000NON,*Société par actions/Corporations/Compagnie,4299.0,,N,N,N,,Toronto,ON,CA,Canada mais hors Québec
140020,CONSTRUCTIONS MICHEL LABBE ENR.,2311-9670 QUEBEC INC.,1140208720,*Société par actions/Corporations/Compagnie,10.0,,N,N,N,,L'ASSOMPTION,QC,CA,Québec hors Conseil d'agglomération
116887,VASERIE P.L.P. CANADA LTEE,,1142039255,*Société par actions/Corporations/Compagnie,15.0,,N,N,N,Rivière-des-Prairies–Pointe-aux-Trembles,MONTREAL,QC,CA,Place d'affaires à Montréal
146872,CALGON INC.,,,*Société par actions/Corporations/Compagnie,,,N,N,N,,RICHMOND HILL,ON,CA,Canada mais hors Québec
128297,STEKE INC.,,1143831346,*Société par actions/Corporations/Compagnie,12.0,,N,N,N,,SHERBROOKE,QC,CA,Québec hors Conseil d'agglomération
139469,T.M.S. MAITRES DES CAMIONS LTEE,,1144447738,*Société par actions/Corporations/Compagnie,38.0,,"O Plan, politique ou engagements de DD","O Plan, politique ou engagements de responsabilité sociale",N,,POINTE-CLAIRE,QC,CA,Conseil d'agglomération hors Montréal
123047,SERVICE D'ENSEIGNE ALAIN AUBRY INC,,1140202095,*Société par actions/Corporations/Compagnie,8.0,,N,N,N,,TERREBONNE,QC,CA,Québec hors Conseil d'agglomération
107485,OSISOFT CANADA ULC,,1160036340,*Société par actions/Corporations/Compagnie,40.0,,N,N,N,Ville-Marie,MONTREAL,QC,CA,Place d'affaires à Montréal
145413,TELECOM U2B,TELECOMMUNICATIONS VOCEM INC.,1164336027,*Société par actions/Corporations/Compagnie,,,N,N,N,Saint-Laurent,MONTREAL,QC,CA,Place d'affaires à Montréal
123107,METRO  NISSAN,4165250 CANADA INC.,1161859153,*Société par actions/Corporations/Compagnie,39.0,,N,N,N,LaSalle,MONTREAL,QC,CA,Place d'affaires à Montréal
113061,CENTRE D'ESCALADE HORIZON ROC,HORIZON ROC INC,1140351926,*Société par actions/Corporations/Compagnie,14.0,,N,"O Plan, politique ou engagements de responsabilité sociale",N,Mercier–Hochelaga-Maisonneuve,MONTREAL,QC,CA,Place d'affaires à Montréal
117450,WATTCO INC.,,1143362888,*Société par actions/Corporations/Compagnie,30.0,,N,N,N,Lachine,MONTREAL,QC,CA,Place d'affaires à Montréal
150516,PLANTECA INC.,,1143582337,*Société par actions/Corporations/Compagnie,17.0,,N,N,N,,STE-THERESE,QC,CA,Québec hors Conseil d'agglomération
117272,GRUES MAURICE GENDRON LTEE,NEQ:1177258895,1177258895,*Société par actions/Corporations/Compagnie,75.0,,N,N,N,Mercier–Hochelaga-Maisonneuve,Montreal,QC,CA,Place d'affaires à Montréal
120402,GLOBAL UPHOLSTERY CO. INC./GROUPE GLOBAL INC.,,1145016383,*Société par actions/Corporations/Compagnie,3000.0,,N,N,N,,DOWNSVIEW,ON,CA,Canada mais hors Québec
120410,DOR DOCTEUR,175005 CANADA INC,1142587469,*Société par actions/Corporations/Compagnie,50.0,,"O Plan, politique ou engagements de DD",N,N,Lachine,LACHINE,QC,CA,Place d'affaires à Montréal
120781,"ELECTRO SONIC GROUP, INC.",,1169995892,*Société par actions/Corporations/Compagnie,175.0,20.0,N,N,N,Saint-Laurent,ST-LAURENT,QC,CA,Place d'affaires à Montréal
107607,DISCOVERY MANUFACTURIER D'EQUIPEMENTS DE CONDITIONNEMENT PHYSIQUE INC.,,1142468298,*Société par actions/Corporations/Compagnie,5.0,,N,N,N,,STE-JULIE,QC,CA,Québec hors Conseil d'agglomération
117682,LES COMPRESSEURS ADEC LTEE,,1142854075,*Société par actions/Corporations/Compagnie,15.0,,N,N,N,,LAVAL,QC,CA,Québec hors Conseil d'agglomération
117575,9399-9175 QUEBEC INC.,SERRURIER R. LAFLEUR INC..,1174647843,*Société par actions/Corporations/Compagnie,5.0,,N,N,N,Ahuntsic-Cartierville,MONTREAL,QC,CA,Place d'affaires à Montréal
102575,BERGERON BULLDOZER INC,,1142291617,*Société par actions/Corporations/Compagnie,,,N,N,N,Rivière-des-Prairies–Pointe-aux-Trembles,MONTREAL,QC,CA,Place d'affaires à Montréal
102645,"KUGLER KANDESTIN, S.E.N.C.R.L.",,3341756602,*Société par actions/Corporations/Compagnie,,,N,N,N,Ville-Marie,MONTREAL,QC,CA,Place d'affaires à Montréal
115863,EQUIPEMENTS STINSON  (QUEBEC) INC.,,1142838615,*Société par actions/Corporations/Compagnie,15.0,,N,"O Plan, politique ou engagements de responsabilité sociale",N,Le Sud-Ouest,MONTREAL,QC,CA,Place d'affaires à Montréal
115666,TRANSPORT LYON INC,NEQ:1143116276,1143116276,*Société par actions/Corporations/Compagnie,90.0,,N,N,N,,Montreal-Est,QC,CA,Conseil d'agglomération hors Montréal
110522,CABANON FORTIN INC.,,1148335764,*Société par actions/Corporations/Compagnie,8.0,,"O Plan, politique ou engagements de DD",N,N,L’Île-Bizard–Sainte-Geneviève,MONTREAL,QC,CA,Place d'affaires à Montréal
111102,DE MARQUE INC.,,1143697085,*Société par actions/Corporations/Compagnie,57.0,,N,N,N,,QUEBEC,QC,CA,Québec hors Conseil d'agglomération
111063,DANSEREAU  TRAITEUR,BERTHE DANSEREAU INC.,1149502289,*Société par actions/Corporations/Compagnie,21.0,,"O Plan, politique ou engagements de DD","O Plan, politique ou engagements de responsabilité sociale",N,,MONT-ROYAL,QC,CA,Conseil d'agglomération hors Montréal
115880,FAUCHER INDUSTRIES,NEQ:1141087776,1141087776,*Société par actions/Corporations/Compagnie,40.0,,N,N,N,,Mississauga,ON,CA,Canada mais hors Québec
103457,CADRES & MOULURES MAJESTIC INC.,,1143878891,*Société par actions/Corporations/Compagnie,,,N,N,N,Montréal-Nord,MONTREAL-NORD,QC,CA,Place d'affaires à Montréal
116047,QUINCAILLERIE A.C.L. INC.,,1143714302,*Société par actions/Corporations/Compagnie,10.0,,N,N,N,Ahuntsic-Cartierville,MONTREAL,QC,CA,Place d'affaires à Montréal
127102,ANTONIO MOREAU (1984)LTEE,,1143656073,*Société par actions/Corporations/Compagnie,40.0,,N,N,N,,ST-HYACINTHE,QC,CA,Québec hors Conseil d'agglomération
140957,SERVICE LUBRICO INC.,,1142391540,*Société par actions/Corporations/Compagnie,2.0,,N,"O Plan, politique ou engagements de responsabilité sociale",N,Villeray–Saint-Michel–Parc-Extension,MONTREAL,QC,CA,Place d'affaires à Montréal
117706,FOURNISSEURS PROFESSIONNELS RC INC. (LES),,1143756683,*Société par actions/Corporations/Compagnie,3.0,,N,N,N,,LONGUEUIL,QC,CA,Québec hors Conseil d'agglomération
136271,LES INDUSTRIES BONIMETAL INC,,1141838376,*Société par actions/Corporations/Compagnie,20.0,,N,N,N,Saint-Léonard,MONTREAL,QC,CA,Place d'affaires à Montréal
117576,MECAR METAL INC.,,1142956680,*Société par actions/Corporations/Compagnie,55.0,,"O Plan, politique ou engagements de DD","O Plan, politique ou engagements de responsabilité sociale",N,,SAINT-BRUNO,QC,CA,Québec hors Conseil d'agglomération
117584,PIVIN & DRAPEAU INC.,,1144362291,*Société par actions/Corporations/Compagnie,25.0,,N,N,N,,LAVAL,QC,CA,Québec hors Conseil d'agglomération
159856,LA CIE LOOMEX ELECTRIQUE LTEE,,1143153220,*Société par actions/Corporations/Compagnie,20.0,20.0,N,N,N,Montréal-Nord,MONTREAL,QC,CA,Place d'affaires à Montréal
2378,BELL CANADA,NEQ:1172462849,1172462849,*Société par actions/Corporations/Compagnie,,,N,N,N,Rosemont–La Petite-Patrie,Montreal,QC,CA,Place d'affaires à Montréal
2378,BELL CANADA,NEQ:1172462849,1172462849,*Société par actions/Corporations/Compagnie,,,N,N,N,Verdun,Verdun,QC,CA,Place d'affaires à Montréal
